url,name,category,address,phone,website,lead_score
https://www.google.com/maps/place/Reflets+Toulouse/data=!4m7!3m6!1s0x12aebbbd82bb3bf5:0xb3fae3d7a102a79b!8m2!3d43.6002609!4d1.4351447!16s%2Fg%2F11whxbspmw!19sChIJ9Tu7gr27rhIRm6cCodfj-rM?authuser=0&hl=fr&rclk=1,Reflets Toulouse,restaurant,"27/29 Rue Charles Viguerie, 31300 Toulouse",06 20 87 36 57,reflets-toulouse.com,0
https://www.google.com/maps/place/L%27+Atrium+-+Restaurant+Toulouse/data=!4m7!3m6!1s0x12aebbd33469469b:0xe9ef7d68b66227d4!8m2!3d43.603728!4d1.442771!16s%2Fg%2F11stkm21bg!19sChIJm0ZpNNO7rhIR1Cditmh97-k?authuser=0&hl=fr&rclk=1,L' Atrium - Restaurant Toulouse,restaurant,"Plaza Hôtel ****, 7 Pl. du Capitole, 31000 Toulouse",05 61 61 19 04,restaurantatrium.fr,0
https://www.google.com/maps/place/Les+Sales+Gosses+%28%C3%A0+TOULOUSE%29/data=!4m7!3m6!1s0x12aebc976e463841:0x3024ed922ac45794!8m2!3d43.606032!4d1.453933!16s%2Fg%2F11bxf03w8z!19sChIJQThGbpe8rhIRlFfEKpLtJDA?authuser=0&hl=fr&rclk=1,Les Sales Gosses (à TOULOUSE),restaurant,"81 Rue Pierre-Paul Riquet, 31000 Toulouse",09 67 15 31 64,restaurant.lessalesgosses.fr,0
https://www.google.com/maps/place/Le+Soulier/data=!4m7!3m6!1s0x12aebb5e03491557:0x964ec70b62b18707!8m2!3d43.59696!4d1.45002!16s%2Fg%2F11ghpp4k2v!19sChIJVxVJA167rhIRB4exYgvHTpY?authuser=0&hl=fr&rclk=1,Le Soulier,restaurant,"3 Pl. Montoulieu, 31000 Toulouse",05 61 57 70 99,lesoulier.fr,0
https://www.google.com/maps/place/Le+Sukhotha%C3%8F/data=!4m7!3m6!1s0x12aebca182e7fe63:0xa4b8d1fcdb462280!8m2!3d43.611539!4d1.447682!16s%2Fg%2F1tcthnct!19sChIJY_7ngqG8rhIRgCJG2_zRuKQ?authuser=0&hl=fr&rclk=1,Le SukhothaÏ,restaurant,"37 Rue Matabiau, 31000 Toulouse",05 61 62 84 70,lesukhothai.com,0
https://www.google.com/maps/place/Restaurant+Le+Restaurant/data=!4m7!3m6!1s0x12aebb631f42e753:0x81aa7852f9621ea4!8m2!3d43.6008656!4d1.4407696!16s%2Fg%2F11c1lhpt_p!19sChIJU-dCH2O7rhIRpB5i-VJ4qoE?authuser=0&hl=fr&rclk=1,Restaurant Le Restaurant,restaurant,"28 Rue Peyrolières, 31000 Toulouse",05 67 52 22 68,lerestaurant-toulouse.fr,0
https://www.google.com/maps/place/Aux+Pieds+sous+la+Table/data=!4m7!3m6!1s0x12aebb5e1c781ccb:0xca7f21f0d48e84d7!8m2!3d43.6096419!4d1.4392784!16s%2Fg%2F11b6dp0y28!19sChIJyxx4HF67rhIR14SO1PAhf8o?authuser=0&hl=fr&rclk=1,Aux Pieds sous la Table,restaurant,"4, 8 Rue Arnaud Bernard 6, 31000 Toulouse",05 67 11 01 72,auxpiedssouslatable.fr,0
https://www.google.com/maps/place/Hort%C3%B9s+Toulouse/data=!4m7!3m6!1s0x12aebda0754fc987:0x18465e614109556a!8m2!3d43.5995326!4d1.4466319!16s%2Fg%2F11s9b6d4vk!19sChIJh8lPdaC9rhIRalUJQWFeRhg?authuser=0&hl=fr&rclk=1,Hortùs Toulouse,restaurant,"17 Rue Croix Baragnon, 31000 Toulouse",05 62 87 56 97,hortus-toulouse.fr,0
https://www.google.com/maps/place/La+Brigade+-+Blagnac+-+Restaurant+Toulouse/data=!4m7!3m6!1s0x12aea5183a9e4979:0x75bf8bb32488b33f!8m2!3d43.6445445!4d1.3732451!16s%2Fg%2F11z0kt0w45!19sChIJeUmeOhilrhIRP7OIJLOLv3U?authuser=0&hl=fr&rclk=1,La Brigade - Blagnac - Restaurant Toulouse,restaurant,"2 All. Emile Zola, 31700 Blagnac",06 70 60 75 76,la-brigade.fr,0
https://www.google.com/maps/place/MAMA+RESTAURANT+TOULOUSE/data=!4m7!3m6!1s0x12aebd34efd1e6a3:0xebef999564905fa5!8m2!3d43.6050267!4d1.4498231!16s%2Fg%2F11j7fbl11v!19sChIJo-bR7zS9rhIRpV-QZJWZ7-s?authuser=0&hl=fr&rclk=1,MAMA RESTAURANT TOULOUSE,restaurant,"54 Bd Lazare Carnot, 31000 Toulouse",05 31 50 50 00,fr.mamashelter.com,0
https://www.google.com/maps/place/L%C3%A9on+-+Blagnac/data=!4m7!3m6!1s0x12aea55005d80d43:0x6ce2eeb4d78b7e50!8m2!3d43.6387211!4d1.3756982!16s%2Fg%2F11bxf9f6df!19sChIJQw3YBVClrhIRUH6L17Tu4mw?authuser=0&hl=fr&rclk=1,Léon - Blagnac,restaurant,"Rue Raymond Grimaud, 31700 Blagnac",05 61 42 31 04,brasserie.restaurantleon.fr,0
https://www.google.com/maps/place/Au+Pois+Gourmand+restaurant+terrasse+gastronomique/data=!4m7!3m6!1s0x12aebb1f342feadf:0xa3a1b23f294e395c!8m2!3d43.609052!4d1.4096611!16s%2Fg%2F1vp2y34n!19sChIJ3-ovNB-7rhIRXDlOKT-yoaM?authuser=0&hl=fr&rclk=1,Au Pois Gourmand restaurant terrasse gastronomique,restaurant,"3 Rue Emile Heybrard, 31300 Toulouse",05 34 36 42 00,pois-gourmand.fr,0
https://www.google.com/maps/place/Bistroquet+Toulouse/data=!4m7!3m6!1s0x12aebb642e6b4f8b:0x319f8fe455420dbe!8m2!3d43.604626!4d1.448928!16s%2Fg%2F1tq_ypfq!19sChIJi09rLmS7rhIRvg1CVeSPnzE?authuser=0&hl=fr&rclk=1,Bistroquet Toulouse,restaurant,"10 Rue Labeda, 31000 Toulouse",06 73 45 61 01,linktr.ee,0
https://www.google.com/maps/place/Le+Soulier/data=!4m7!3m6!1s0x12aebb5e03491557:0x964ec70b62b18707!8m2!3d43.5969604!4d1.4500201!16s%2Fg%2F11ghpp4k2v!19sChIJVxVJA167rhIRB4exYgvHTpY?authuser=0&hl=fr&rclk=1,Le Soulier,restaurant,"3 Pl. Montoulieu, 31000 Toulouse",05 61 57 70 99,lesoulier.fr,0
https://www.google.com/maps/place/Les+Volets+Rouges/data=!4m7!3m6!1s0x12aebd54c4c081c9:0xe1bda02993b3fe32!8m2!3d43.5971356!4d1.4481126!16s%2Fg%2F11y8mb7w6v!19sChIJyYHAxFS9rhIRMv6zkymgveE?authuser=0&hl=fr&rclk=1,Les Volets Rouges,restaurant,"1 Rue Vélane, 31000 Toulouse",05 34 35 86 30,lesvoletsrouges.fr,0
https://www.google.com/maps/place/Restaurant+P%C3%A9p%C3%A8re/data=!4m7!3m6!1s0x12aebd0059454c8d:0x41ca763e255ec907!8m2!3d43.6051212!4d1.4510277!16s%2Fg%2F11yczgmr93!19sChIJjUxFWQC9rhIRB8leJT52ykE?authuser=0&hl=fr&rclk=1,Restaurant Pépère,restaurant,"13 Rue de l'Industrie, 31000 Toulouse",05 61 12 34 91,pepere-restaurant.fr,0
https://www.google.com/maps/place/Restaurant+Dans+le+Noir+-+Toulouse/data=!4m7!3m6!1s0x12aebda354b8cddf:0x48418a53329befe!8m2!3d43.6084843!4d1.4534278!16s%2Fg%2F11nxyfzgx_!19sChIJ3824VKO9rhIR_r4pM6UYhAQ?authuser=0&hl=fr&rclk=1,Restaurant Dans le Noir - Toulouse,restaurant,"Au sein de l'hôtel FirstName, 84 All. Jean Jaurès, 31000 Toulouse",05 61 10 23 21,toulouse.danslenoir.com,0
https://www.google.com/maps/place/Oh+la+vache+!/data=!4m7!3m6!1s0x12aebd9ae2bc1493:0x2182cfa7b21d7cd6!8m2!3d43.6054879!4d1.4475091!16s%2Fg%2F11fqbf6d0n!19sChIJkxS84pq9rhIR1nwdsqfPgiE?authuser=0&hl=fr&rclk=1,Oh la vache !,restaurant,"2 Rue d'Austerlitz, 31000 Toulouse",09 86 24 60 18,,40
https://www.google.com/maps/place/Fogo/data=!4m7!3m6!1s0x12aebdd8dcae50f7:0x50bbddbb50571831!8m2!3d43.6019429!4d1.4445828!16s%2Fg%2F11sbvp2q11!19sChIJ91Cu3Ni9rhIRMRhXULvdu1A?authuser=0&hl=fr&rclk=1,Fogo,restaurant,"6 Rue des Puits Clos, 31000 Toulouse",05 61 83 65 14,fogo-toulouse.fr,0
https://www.google.com/maps/place/C%C3%A9cile/data=!4m7!3m6!1s0x12aebdaf13bcfe53:0xc939f4ab6bb41577!8m2!3d43.5974864!4d1.444595!16s%2Fg%2F11fwcxw1p2!19sChIJU_68E6-9rhIRdxW0a6v0Ock?authuser=0&hl=fr&rclk=1,Cécile,restaurant,"43 Pl. des Carmes, 31000 Toulouse",,cecile-toulouse.fr,10
https://www.google.com/maps/place/Plomberie+G%C3%A9n%C3%A9rale/data=!4m7!3m6!1s0x12aebd63c11101c7:0xb7152cf6fe809b32!8m2!3d43.594603!4d1.44355!16s%2Fg%2F11f8lsrb_d!19sChIJxwERwWO9rhIRMpuA_vYsFbc?authuser=0&hl=fr&rclk=1,Plomberie Générale,plumber,"3 Rue de la Fonderie, 31000 Toulouse",06 65 09 30 24,plomberie-generale.com,0
https://www.google.com/maps/place/Ayoub+sabeur+plomberie/data=!4m7!3m6!1s0xe27d015b1d11b19:0x40579636d6d0cede!8m2!3d43.6175071!4d1.4146092!16s%2Fg%2F11x95dfpr7!19sChIJGRvRsRXQJw4R3s7Q1jaWV0A?authuser=0&hl=fr&rclk=1,Ayoub sabeur plomberie,plumber,"65 Rue des Troènes, 31200 Toulouse",07 49 47 17 61,pagesjaunes.fr,0
https://www.google.com/maps/place/Abribat+Plomberie/data=!4m7!3m6!1s0x12aebca7054fc971:0x440638fbc6a20d68!8m2!3d43.6160143!4d1.4455249!16s%2Fg%2F11f3jdpw01!19sChIJcclPBae8rhIRaA2ixvs4BkQ?authuser=0&hl=fr&rclk=1,Abribat Plomberie,plumber,"25 Bd des Minimes, 31200 Toulouse",06 77 50 30 78,abribat-plomberie.fr,0
https://www.google.com/maps/place/Sani%27Chauff/data=!4m7!3m6!1s0x259b032a8cb51595:0xb7e4f5e7dd50d916!8m2!3d43.51375!4d1.481736!16s%2Fg%2F11w1cclbv8!19sChIJlRW1jCoDmyURFtlQ3ef15Lc?authuser=0&hl=fr&rclk=1,Sani'Chauff,plumber,"18 bis Rte de Mervilla, 31320 Castanet-Tolosan",06 09 22 18 58,sanichauff-toulouse.fr,0
https://www.google.com/maps/place/AM+Plomberie+Services/data=!4m7!3m6!1s0x12aea5be1ef56c47:0xc03290a9bfd7555e!8m2!3d43.6563431!4d1.3717732!16s%2Fg%2F11vwjxdf7w!19sChIJR2z1Hr6lrhIRXlXXv6mQMsA?authuser=0&hl=fr&rclk=1,AM Plomberie Services,plumber,"29 Av. d'Andromède, 31700 Blagnac",07 83 81 48 39,pagesjaunes.fr,0
https://www.google.com/maps/place/Sos+plombier+Toulouse/data=!4m7!3m6!1s0x12aebbc4639baf5b:0xcc63d2f2704c6438!8m2!3d43.5817453!4d1.368822!16s%2Fg%2F11nxvddbfq!19sChIJW6-bY8S7rhIROGRMcPLSY8w?authuser=0&hl=fr&rclk=1,Sos plombier Toulouse,plumber,"175 Chem. de Ramelet Moundi, 31100 Toulouse",06 12 78 83 95,urgenceplomberie31.fr,0
https://www.google.com/maps/place/Bekko+Assistance/data=!4m7!3m6!1s0x12aebdcc8a7e89db:0x13a4ea4b3ed73adb!8m2!3d43.6361778!4d1.3915889!16s%2Fg%2F11h0l49qn_!19sChIJ24l-isy9rhIR2zrXPkvqpBM?authuser=0&hl=fr&rclk=1,Bekko Assistance,plumber,"23 Rue des Mines # 41, 31700 Blagnac",06 41 27 96 68,,40
https://www.google.com/maps/place/NOBILIS/data=!4m7!3m6!1s0x12aea52b1983ec3d:0x4e579777b30489b3!8m2!3d43.390644!4d1.2449926!16s%2Fg%2F11jfjl5fls!19sChIJPeyDGSulrhIRs4kEs3eXV04?authuser=0&hl=fr&rclk=1,NOBILIS,plumber,,06 38 53 11 49,nobilisthermique.com,0
https://www.google.com/maps/place/Fluide+CPC+-+Climatisation+%2F+Plomberie+%2F+Chauffage/data=!4m7!3m6!1s0xac10d13733674741:0x4acbc12098f3e0ca!8m2!3d31.328467!4d-29.5571697!16s%2Fg%2F11mknlbz5v!19sChIJQUdnMzfREKwRyuDzmCDBy0o?authuser=0&hl=fr&rclk=1,Fluide CPC - Climatisation / Plomberie / Chauffage,plumber,,06 35 24 73 04,fluide-cpc.fr,0
https://www.google.com/maps/place/Ancely+Plomberie+chauffage+gaz/data=!4m7!3m6!1s0x12aebada1a6c9f0b:0xab0d8106abf1b00f!8m2!3d43.6185759!4d1.3995345!16s%2Fg%2F11b6dcstcg!19sChIJC59sGtq6rhIRD7DxqwaBDas?authuser=0&hl=fr&rclk=1,Ancely Plomberie chauffage gaz,plumber,"6 All. du Velay, 31300 Toulouse",06 21 78 40 41,ancely-plomberie.fr,0
https://www.google.com/maps/place/Artisan+Plomberie+Toulousaine+31/data=!4m7!3m6!1s0x12aebb1f4aeb73af:0x24b8111a730f4074!8m2!3d43.5763674!4d1.4394346!16s%2Fg%2F11kmd99_mv!19sChIJr3PrSh-7rhIRdEAPcxoRuCQ?authuser=0&hl=fr&rclk=1,Artisan Plomberie Toulousaine 31,plumber,"1 Rue des Flamants, 31400 Toulouse",06 43 02 43 89,sites.google.com,0
https://www.google.com/maps/place/Dc+Plomberie/data=!4m7!3m6!1s0x12aebb98fff3532b:0x9b0d4e668db9f43a!8m2!3d43.5830757!4d1.4264825!16s%2Fg%2F11g0hp091f!19sChIJK1Pz_5i7rhIROvS5jWZODZs?authuser=0&hl=fr&rclk=1,Dc Plomberie,plumber,"87 Av. de Muret, 31300 Toulouse",06 81 44 80 38,facebook.com,0
https://www.google.com/maps/place/Aquagaz/data=!4m7!3m6!1s0x12aebb27f1e7d2e7:0xbff4d7f3df73163f!8m2!3d43.6013293!4d1.3721774!16s%2Fg%2F11hzn4n6pp!19sChIJ59Ln8Se7rhIRPxZz3_PX9L8?authuser=0&hl=fr&rclk=1,Aquagaz,plumber,"145 Chem. de Tournefeuille, 31300 Toulouse",06 17 67 27 01,aquagaz31.fr,0
https://www.google.com/maps/place/Plomberie+Toulousaine/data=!4m7!3m6!1s0x12aebc7fd4b154f3:0x1bc547d5e9845931!8m2!3d43.5871242!4d1.4465563!16s%2Fg%2F11bzz3jjkl!19sChIJ81Sx1H-8rhIRMVmE6dVHxRs?authuser=0&hl=fr&rclk=1,Plomberie Toulousaine,plumber,"55 Gd Rue Saint-Michel, 31400 Toulouse",05 62 17 68 22,plomberie-toulousaine.fr,0
https://www.google.com/maps/place/Selfcity+Billi%C3%A8res+-+Plombier+Chauffagiste+Climatisation+-+Toulouse/data=!4m7!3m6!1s0x12aebb90a680c103:0xad90c7ad734eb76f!8m2!3d43.5969313!4d1.42521!16s%2Fg%2F11h00f5_nf!19sChIJA8GAppC7rhIRb7dOc63HkK0?authuser=0&hl=fr&rclk=1,Selfcity Billières - Plombier Chauffagiste Climatisation - Toulouse,plumber,"58 Av. Etienne Billières, 31300 Toulouse",05 31 60 30 43,selfcity.fr,0
https://www.google.com/maps/place/BEKKO+PCG/data=!4m7!3m6!1s0x12aebb71669a8b1b:0x6304e8d4be376af6!8m2!3d43.5868995!4d1.400584!16s%2Fg%2F11h719zbkj!19sChIJG4uaZnG7rhIR9mo3vtToBGM?authuser=0&hl=fr&rclk=1,BEKKO PCG,plumber,"5 Chem. du Pigeonnier de la Cépière, 31100 Toulouse",06 41 27 96 68,bekko-pcg.fr,0
https://www.google.com/maps/place/LEFONDER+Plomberie/data=!4m7!3m6!1s0x12aebb7984e6270f:0x636f8069e77b9768!8m2!3d43.5722435!4d1.4156394!16s%2Fg%2F11ft_g5lgp!19sChIJDyfmhHm7rhIRaJd752mAb2M?authuser=0&hl=fr&rclk=1,LEFONDER Plomberie,plumber,"6 Rue des Landes, 31100 Toulouse",06 58 20 03 38,lefonderplomberie.com,0
https://www.google.com/maps/place/Yam+Plomberie/data=!4m7!3m6!1s0xacd8a7cc8b581979:0x4241757ebeb1278c!8m2!3d43.6346833!4d1.4439642!16s%2Fg%2F11jzbxdb0z!19sChIJeRlYi8yn2KwRjCexvn51QUI?authuser=0&hl=fr&rclk=1,Yam Plomberie,plumber,"74 Rue Ernest Renan, 31200 Toulouse",07 81 13 28 28,yamplomberie.fr,0
https://www.google.com/maps/place/Technitoit+Toulouse/data=!4m7!3m6!1s0x12aea45159090fb5:0x637b56b310b34fd4!8m2!3d43.672202!4d1.410428!16s%2Fg%2F1tz7qp5n!19sChIJtQ8JWVGkrhIR1E-zELNWe2M?authuser=0&hl=fr&rclk=1,Technitoit Toulouse,plumber,"61 Rte de Paris, 31140 Aucamville",05 33 52 29 51,technitoit.com,0
https://www.google.com/maps/place/Furlan+Jean-Pierre/data=!4m7!3m6!1s0x12aea56ad5d6b1b1:0x3fff5fcddaead56f!8m2!3d43.6506111!4d1.3853053!16s%2Fg%2F11gh_ftbhk!19sChIJsbHW1WqlrhIRb9Xq2s1f_z8?authuser=0&hl=fr&rclk=1,Furlan Jean-Pierre,plumber,"21 All. Paul Emile Victor, 31700 Blagnac",05 61 62 64 38,furlanjean-pierre.com,0
